BOFIN,48433.00N,933140.00W
BOGGI,49831.00N,1224729.00W
BOGGY,50152.00N,1042425.00W
BOGSO,45132.00N,822553.00W
BOINE,494947.98N,0971525.09W
BOJAM,52616.00N,1174253.00W
BOKMA,543110.00N,1313856.00W
BOLMO,435436N,0800309W
BONAK,5300.00N,13400.00W
BONDE,471552.00N,834334.00W
BOOPY,50557.00N,1243531.00W
BOOTH,493120.00N,122242.00W
BOPUT,685733.97N,0615628.21W
BORAN,613752.00N,14100.00W
BORDN,442056.00N,801941.00W
BORNE,424744.00N,814031.00W
BORUB,523221.00N,63724.00W
BOSAM,4530.00N,73550.00W
BOTAD,583811.00N,1315933.00W
BOTER,634520.00N,1125735.00W
BOTHA,574044.00N,1183758.00W
BOVEX,423543.00N,812517.00W
BOVOD,441740.00N,771344.00W
BRADD,4390.00N,6700.00W
BRETN,443413.00N,79130.00W
BRIDG,47847.00N,591617.00W
BRIOL,4967.00N,1232939.00W
BROKK,421953.00N,813455.00W
BROME,53300.00N,6700.00W
BRYAN,445619.74N,0651045.65W
BRYGE,504145.00N,123614.00W
BUBIX,491939.00N,672229.00W
BUICK,484836.00N,12386.00W
BULIE,501614.00N,120438.00W
BURWA,461124.00N,803433.00W
BUYKK,415718.00N,82164.00W
CAAPE,45180.00N,651746.00W
CABRA,54546.00N,1123846.00W
CACHO,545414.00N,1123410.00W
CADIL,47447.00N,602528.00W
CAFTA,511743.00N,129519.00W
CAINN,511812.00N,114136.00W
CAJEN,553218.00N,1212414.00W
CALCI,60220.00N,1161629.00W
CALER,51818.00N,1134518.00W
CALLY,55754.00N,1132322.00W
CALON,43543.00N,80749.00W
CAMRA,53151.00N,1123029.00W
CAMZO,484658.00N,123328.00W
CANEL,675901.88N,0604550.49W
CANIG,61632.00N,101743.00W
CANOP,5144.00N,1143529.00W
CANRY,49858.00N,1232012.00W
CANSO,48942.00N,80447.00W
CANYO,602531.00N,132245.00W
CARAC,430000.00N,0600000.00W
CAROT,49548.00N,822058.00W
CARPE,530500.00N,0540500.00W
CARSO,491634.00N,97058.00W
CASDY,49425.00N,1235841.00W
CASSL,523234.00N,1224455.00W
CASTR,48520.00N,664960.00W
CATOG,45551.00N,72531.00W
CAUGA,492811.00N,121237.00W
CEDRE,432527.00N,80439.00W
CEESE,494012.00N,1233652.00W
CEFOR,433716.00N,8183.00W
CEFOU,474414.00N,6900.00W
CELAR,451350.00N,762658.00W
CERAW,443919.00N,761515.00W
CETTY,445534.00N,64529.00W
CHACE,504058.00N,1194020.00W
CHAPO,645822.00N,14100.00W
CHAPT,502852.00N,1202029.00W
CHARN,545323.00N,8000.00W
CHATM,482718.00N,1231352.00W
CHICA,485159.00N,851611.00W
CHIPE,532214.00N,1153338.00W
CHITE,50247.00N,11698.00W
CHUBB,532621.00N,122333.00W
CILLI,49350.00N,1212343.00W
CITOP,501013.00N,1143019.00W
CLANK,563427.00N,1123728.00W
CLAYR,45479.00N,66527.00W
COALE,602719.00N,1351027.00W
COALL,8000.00N,14100.00W
COGLA,472624.00N,825724.00W
COGLE,49436.00N,1223354.00W
COHIL,60631.00N,13900.00W
COHOE,495626.00N,1252450.00W
COLOR,464024.00N,523050.00W
COLTS,425749.00N,791914.00W
COMAU,452233.00N,7412.00W
COMPR,514511.00N,11000.00W
CONDI,483420.00N,1232019.00W
CONER,50956.00N,1151458.00W
COPAR,452711.00N,62041.00W
COPUR,59420.00N,6700.00W
CORMO,503233.00N,1265849.00W
COTLO,68527.00N,12500.00W
COUTS,4900.00N,1121730.00W
COWLE,493653.00N,114218.00W
CRABB,421248.00N,0654512.00W
CROCE,452518.00N,801213.00W
CRONO,512245.00N,0524250.00W
CROSY,512954.00N,1135244.00W
CUDAS,423724.00N,64146.00W
CUTTL,485054.00N,93822.00W
CYMON,49430.00N,5500.00W
CYRIL,445814.00N,751759.00W
DACEY,593337.00N,126432.00W
DACIL,425355.00N,81279.00W
DAFLU,422244.00N,824119.00W
DAGTY,52923.00N,114443.00W
DALDE,52193.00N,101849.00W
DALLY,513646.00N,1144634.00W
DANNY,451554.00N,81925.00W
DAPAK,73450.00N,7000.00W
DARKE,511342.00N,1131439.00W
DARLI,55126.00N,1204854.00W
DARUB,6700.00N,6000.00W
DARWN,501844.00N,1133940.00W
DASBI,492936.00N,118342.00W
DASPO,70222.00N,12500.00W
DATOT,473820.00N,531213.00W
DAVII,543835.00N,1222839.00W
DAVON,5495.00N,1241424.00W
DAXER,61460.00N,72480.00W
DAYSE,464742.00N,583621.00W
DEDGO,49296.00N,96270.00W
DEGMO,48154.00N,781342.00W
DEGVA,495416.00N,94557.00W
DEKMO,88521.00N,14100.00W
DELBR,52516.00N,1132917.00W
DEMKO,445451.00N,794551.00W
DENDU,503013.00N,5247.00W
DENGA,432824.00N,815833.00W
DERLI,691960.00N,10000.00W
DESDN,423124.00N,821524.00W
DETBA,541620.00N,1142612.00W
DICEN,46480.00N,721720.00W
DISCO,48241.00N,1231041.00W
DKK03,424224.35N,0791740.55W
DKK23,423058.16N,0794729.49W
DKK35,422424.09N,0800313.86W
DOGGS,422339.00N,81453.00W
DOLFF,481960.00N,12800.00W
DOLFN,421247.00N,813913.00W
DOLLR,492012.00N,1225618.00W
DOPHN,443318.00N,0552900.00W
DOTTY,503760.00N,553460.00W
DOWNS,495749.98N,0971918.09W
DRAGO,525436.00N,1221660.00W
DROME,424329.00N,822351.00W
DUGGS,5325.00N,1293012.00W
DUGNO,603939.00N,8000.00W
DUGSA,50942.00N,1052129.00W
DUKPA,6599.00N,11000.00W
DUNCN,48510.00N,1233924.00W
DUNEX,494543.00N,971620.00W
DUNOR,531522.00N,601513.00W
DUPAB,45419.00N,743847.00W
DUPEV,643424.00N,13000.00W
DUPOD,493755.00N,1235513.00W
DURAK,50841.00N,120250.00W
DURIL,5000.00N,883160.00W
DUROT,58227.00N,1082657.00W
DUSMA,53420.00N,8000.00W
DUSOB,601817.00N,13000.00W
DUSUB,43450.00N,781960.00W
DUSUT,423858.00N,812318.00W
DUTAX,494042.00N,1154657.00W
DUTEV,441430.00N,77198.00W
DUTOK,484552.00N,1234347.00W
DUTOR,441315.52N,0771716.38W
DUTUM,63520.00N,6700.00W
DUVAG,483327.00N,684820.00W
DUVER,6000.00N,9300.00W
